region,Year,week,date,bloom_stage,T2M,T2M_pred,T2M_final,T2M_MAX,T2M_MAX_pred,T2M_MAX_final,T2M_MIN,T2M_MIN_pred,T2M_MIN_final,PRECTOTCORR,PRECTOTCORR_pred,PRECTOTCORR_final,RH2M,RH2M_pred,RH2M_final,VPD,VPD_pred,VPD_final,ET0,ET0_pred,ET0_final,QV2M,QV2M_pred,QV2M_final,ALLSKY_SFC_SW_DWN,ALLSKY_SFC_SW_DWN_pred,ALLSKY_SFC_SW_DWN_final,PS,PS_pred,PS_final
usa_11,2019,19,2019-05-10,EoB,14.3121875,,14.3121875,18.754375000000003,,18.754375000000003,10.321776785714286,,10.321776785714286,0.5633303571428571,,0.5633303571428571,72.75735714285715,,72.75735714285715,1.6519555540546804,,1.6519555540546804,7.70600675578829,,7.70600675578829,0.007504232142857,,0.007504232142857,20.607928571428573,,20.607928571428573,94.94779464285712,,94.94779464285712
usa_11,2019,20,2019-05-17,EoB,12.9205,,12.9205,16.625187500000003,,16.625187500000003,9.666616071428573,,9.666616071428573,5.354053571428572,,5.354053571428572,73.58536607142858,,73.58536607142858,1.5271933399102875,,1.5271933399102875,7.878666995296615,,7.878666995296615,0.0070388749999999,,0.0070388749999999,19.972285714285714,,19.972285714285714,94.9228125,,94.9228125
usa_11,2019,21,2019-05-24,EoB,11.906767857142857,,11.906767857142857,15.4435625,,15.4435625,8.608044642857143,,8.608044642857143,1.6544821428571428,,1.6544821428571428,77.24964285714286,,77.24964285714286,1.425414673238657,,1.425414673238657,7.940562594386134,,7.940562594386134,0.0070329374999999,,0.0070329374999999,20.859571428571428,,20.859571428571428,94.79566964285712,,94.79566964285712
usa_11,2019,22,2019-05-31,EoB,14.50611607142857,,14.50611607142857,18.83820535714285,,18.83820535714285,10.30117857142857,,10.30117857142857,0.526892857142857,,0.526892857142857,75.252125,,75.252125,1.6900937034776864,,1.6900937034776864,8.308097081171244,,8.308097081171244,0.0078412142857142,,0.0078412142857142,21.982892857142858,,21.982892857142858,94.94044642857143,,94.94044642857143
usa_11,2019,23,2019-06-07,NoBloom,17.435589285714286,,17.435589285714286,22.51883928571429,,22.51883928571429,12.319580357142858,,12.319580357142858,0.0661071428571428,,0.0661071428571428,64.18820535714286,,64.18820535714286,2.064236777519951,,2.064236777519951,10.399456031213916,,10.399456031213916,0.007692919642857,,0.007692919642857,28.56257142857143,,28.56257142857143,95.130125,,95.130125
usa_11,2019,24,2019-06-14,NoBloom,19.726491071428573,,19.726491071428573,24.8704375,,24.8704375,15.021642857142856,,15.021642857142856,0.0596785714285713,,0.0596785714285713,62.16045535714286,,62.16045535714286,2.4032082280466467,,2.4032082280466467,9.950277439099594,,9.950277439099594,0.0082427589285713,,0.0082427589285713,24.54875,,24.54875,95.10873214285714,,95.10873214285714
usa_11,2019,25,2019-06-21,NoBloom,18.265705357142856,,18.265705357142856,23.553991071428573,,23.553991071428573,13.177205357142856,,13.177205357142856,0.0930803571428571,,0.0930803571428571,64.72058035714285,,64.72058035714285,2.178483811853514,,2.178483811853514,10.112044661282136,,10.112044661282136,0.0079873660714285,,0.0079873660714285,26.97178571428572,,26.97178571428572,95.00973214285716,,95.00973214285716
usa_11,2019,26,2019-06-28,NoBloom,17.875991071428572,,17.875991071428572,23.0603125,,23.0603125,12.9465625,,12.9465625,0.0391785714285714,,0.0391785714285714,60.73377678571429,,60.73377678571429,2.1062813201801616,,2.1062813201801616,10.719567103955258,,10.719567103955258,0.007095294642857,,0.007095294642857,28.86157142857143,,28.86157142857143,95.18853571428572,,95.18853571428572
usa_11,2020,5,2020-01-31,NoBloom,10.068205357142856,,10.068205357142856,14.465071428571427,,14.465071428571427,6.719669642857143,,6.719669642857143,0.0762857142857142,,0.0762857142857142,76.37458035714286,,76.37458035714286,1.2672659192954563,,1.2672659192954563,5.662621885275518,,5.662621885275518,0.0062630892857142,,0.0062630892857142,11.889,,11.889,95.90929464285712,,95.90929464285712
usa_11,2020,6,2020-02-07,NoBloom,7.633866071428571,,7.633866071428571,12.094276785714284,,12.094276785714284,4.302330357142857,,4.302330357142857,0.0293303571428571,,0.0293303571428571,67.621625,,67.621625,1.0999771534718192,,1.0999771534718192,5.813282719356766,,5.813282719356766,0.0049222499999999,,0.0049222499999999,14.19514285714286,,14.19514285714286,95.50328571428572,,95.50328571428572
